,auc,dcnn_domain,img_domain,orientation,id
337,0.96,hands_both,hands_both_bg_unbalanced,upright,hands_both_8
338,0.970625,hands_both,hands_both_bg_unbalanced,upright,hands_both_9
339,0.966875,hands_both,hands_both_bg_unbalanced,upright,hands_both_10
340,0.990625,hands_both,hands_both_bg_unbalanced,upright,hands_both_11
341,0.981875,hands_both,hands_both_bg_unbalanced,upright,hands_both_12
342,0.969375,hands_both,hands_both_bg_unbalanced,upright,hands_both_13
343,0.993125,hands_both,hands_both_bg_unbalanced,upright,hands_both_14
344,0.991875,hands_both,hands_both_bg_unbalanced,upright,hands_both_15
345,0.95625,hands_both,hands_both_bg_unbalanced,upright,hands_both_16
346,0.966875,hands_both,hands_both_bg_unbalanced,upright,hands_both_17
347,0.995,hands_both,hands_both_bg_unbalanced,upright,hands_both_18
348,0.97375,hands_both,hands_both_bg_unbalanced,upright,hands_both_19
349,0.9575,hands_both,hands_both_bg_unbalanced,upright,hands_both_20
350,0.994375,hands_both,hands_both_bg_unbalanced,upright,hands_both_21
351,0.9875,hands_both,hands_both_bg_unbalanced,upright,hands_both_22
352,0.954375,hands_both,hands_both_bg_unbalanced,upright,hands_both_23
353,0.97875,hands_both,hands_both_bg_unbalanced,upright,hands_both_24
354,0.9725,hands_both,hands_both_bg_unbalanced,upright,hands_both_25
355,0.96375,hands_both,hands_both_bg_unbalanced,upright,hands_both_26
356,0.988125,hands_both,hands_both_bg_unbalanced,upright,hands_both_27
357,0.99125,hands_both,hands_both_bg_unbalanced,upright,hands_both_28
358,0.97,hands_both,hands_both_bg_unbalanced,upright,hands_both_29
359,0.983125,hands_both,hands_both_bg_unbalanced,upright,hands_both_30
360,0.6325,objects,100_faces_100_each,inverted,objects_1
361,0.534375,objects,100_faces_100_each,inverted,objects_2
362,0.553125,objects,100_faces_100_each,inverted,objects_3
363,0.61625,objects,100_faces_100_each,inverted,objects_4
364,0.5543750000000001,objects,100_faces_100_each,inverted,objects_5
365,0.585625,objects,100_faces_100_each,inverted,objects_6
366,0.62625,objects,100_faces_100_each,inverted,objects_7
367,0.590625,objects,100_faces_100_each,inverted,objects_8
368,0.504375,objects,100_faces_100_each,inverted,objects_9
369,0.420625,objects,100_faces_100_each,inverted,objects_10
370,0.67875,objects,100_faces_100_each,inverted,objects_11
371,0.6181249999999999,objects,100_faces_100_each,inverted,objects_12
372,0.640625,objects,100_faces_100_each,inverted,objects_13
373,0.5275000000000001,objects,100_faces_100_each,inverted,objects_14
374,0.47375,objects,100_faces_100_each,inverted,objects_15
375,0.619375,objects,100_faces_100_each,inverted,objects_16
376,0.595,objects,100_faces_100_each,inverted,objects_17
377,0.614375,objects,100_faces_100_each,inverted,objects_18
378,0.5762499999999999,objects,100_faces_100_each,inverted,objects_19
379,0.63875,objects,100_faces_100_each,inverted,objects_20
380,0.6475,objects,100_faces_100_each,inverted,objects_21
381,0.651875,objects,100_faces_100_each,inverted,objects_22
382,0.6525,objects,100_faces_100_each,inverted,objects_23
383,0.53125,objects,100_faces_100_each,inverted,objects_24
384,0.6725,objects,100_faces_100_each,inverted,objects_25
385,0.6306250000000001,objects,100_faces_100_each,inverted,objects_26
386,0.6525000000000001,objects,100_faces_100_each,inverted,objects_27
387,0.6225,objects,100_faces_100_each,inverted,objects_28
388,0.5756249999999999,objects,100_faces_100_each,inverted,objects_29
389,0.5875,objects,100_faces_100_each,inverted,objects_30
390,0.568125,objects,100_faces_100_each,upright,objects_1
391,0.494375,objects,100_faces_100_each,upright,objects_2
392,0.6025,objects,100_faces_100_each,upright,objects_3
393,0.4918749999999999,objects,100_faces_100_each,upright,objects_4
394,0.6881250000000001,objects,100_faces_100_each,upright,objects_5
395,0.67125,objects,100_faces_100_each,upright,objects_6
396,0.6093749999999999,objects,100_faces_100_each,upright,objects_7
397,0.56125,objects,100_faces_100_each,upright,objects_8
398,0.623125,objects,100_faces_100_each,upright,objects_9
399,0.60375,objects,100_faces_100_each,upright,objects_10
400,0.5318749999999999,objects,100_faces_100_each,upright,objects_11
401,0.69,objects,100_faces_100_each,upright,objects_12
402,0.6449999999999999,objects,100_faces_100_each,upright,objects_13
403,0.57,objects,100_faces_100_each,upright,objects_14
404,0.573125,objects,100_faces_100_each,upright,objects_15
405,0.5037499999999999,objects,100_faces_100_each,upright,objects_16
406,0.598125,objects,100_faces_100_each,upright,objects_17
407,0.458125,objects,100_faces_100_each,upright,objects_18
408,0.618125,objects,100_faces_100_each,upright,objects_19
409,0.621875,objects,100_faces_100_each,upright,objects_20
